#Task Selector: 4
#PID Parameters: kp: 0.15, kd: 0.06, ki: 0.04
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1996603 0.00 0.00 0.00 0.00 -3.63 -13.28 -0.73 -2.66 -43.85 -160.59 -4.39 -16.06
2013144 0.00 0.00 0.00 0.00 -2.48 -16.77 -1.22 -6.01 -25.81 -174.56 -6.97 -33.51
2032356 0.00 0.00 0.00 0.00 -2.47 -13.28 -1.72 -8.67 -28.62 -153.68 -9.83 -48.88
2049638 0.00 0.00 0.00 0.00 -1.32 -14.44 -1.98 -11.55 -13.78 -150.60 -11.21 -63.94
2068813 0.00 0.00 0.00 0.00 -3.62 -12.12 -2.70 -13.98 -45.08 -150.75 -15.71 -79.02
2084895 0.00 0.00 0.00 0.00 -4.78 -13.28 -2.94 -13.98 -11.89 -0.03 -16.90 -79.02
2104323 0.00 0.00 0.00 0.00 -4.79 -15.61 -3.40 -13.75 -34.60 17.37 -20.36 -77.28
2117667 0.00 0.00 0.00 0.00 -4.78 -10.97 -3.86 -13.28 -28.42 28.55 -23.20 -74.43
2133875 0.00 0.00 0.00 0.00 -4.79 -15.61 -4.55 -13.52 -43.30 -14.61 -27.53 -75.89
2149890 0.00 0.00 0.00 0.00 -5.94 -15.61 -5.02 -14.22 -32.22 -48.50 -30.76 -80.74
2164286 0.00 0.00 0.00 0.00 -4.79 -15.61 -5.02 -14.68 -0.07 -26.52 -26.38 -67.33
2181818 0.00 0.00 0.00 0.00 -4.78 -14.45 -5.02 -14.45 0.05 16.80 -23.79 -48.20
2195662 0.00 0.00 0.00 0.00 -3.63 -14.44 -4.79 -15.14 14.56 -44.15 -19.47 -37.24
2211413 0.00 0.00 0.00 0.00 -4.79 -15.61 -4.79 -15.14 0.00 0.00 -18.10 -22.18
2226696 0.00 0.00 0.00 0.00 -5.95 -16.78 -4.79 -15.38 -0.05 -13.56 -13.59 -8.46
2243875 0.00 0.00 0.00 0.00 -4.78 -14.45 -4.79 -15.14 0.04 14.30 -12.40 -7.03
2260137 0.00 0.00 0.00 0.00 -4.78 -14.45 -4.79 -15.14 0.00 0.00 -8.94 -8.77
2276280 0.00 0.00 0.00 0.00 -3.63 -14.44 -4.79 -15.14 0.00 0.00 -6.10 -11.62
2291961 0.00 0.00 0.00 0.00 -4.78 -13.28 -4.79 -14.68 0.08 29.57 -1.76 -7.20
2307681 0.00 0.00 0.00 0.00 -4.79 -15.61 -4.55 -14.45 14.53 14.63 2.91 -0.89
2323657 0.00 0.00 0.00 0.00 -5.94 -14.45 -4.78 -14.45 -13.81 -0.04 1.54 1.76
2340389 0.00 0.00 0.00 0.00 -4.78 -13.28 -4.78 -14.21 0.04 14.68 1.54 1.54
2356216 0.00 0.00 0.00 0.00 -4.79 -15.61 -5.02 -14.45 -12.94 -13.03 -1.21 4.66
2374120 0.00 0.00 0.00 0.00 -7.10 -15.62 -5.48 -14.91 -30.50 -30.67 -4.26 1.59
2389332 0.00 0.00 0.00 0.00 -4.79 -15.61 -5.48 -14.91 0.00 0.00 -4.26 2.95
2405136 0.00 0.00 0.00 0.00 -4.78 -13.28 -5.25 -14.68 14.26 14.34 -2.83 2.95
2421387 0.00 0.00 0.00 0.00 -7.10 -14.45 -5.71 -14.91 -27.82 -14.04 -5.62 1.54
2438034 0.00 0.00 0.00 0.00 -5.94 -15.61 -5.94 -14.92 -12.91 -0.04 -6.91 1.54
2455943 0.00 0.00 0.00 0.00 -9.42 -15.63 -6.41 -14.92 -26.72 -0.12 -9.59 -1.43
2473281 0.00 0.00 0.00 0.00 -8.26 -15.62 -7.10 -14.92 -40.30 -0.15 -15.07 -2.91
2490509 0.00 0.00 0.00 0.00 -8.26 -15.62 -7.80 -15.39 -41.80 -28.10 -17.87 -5.71
2507147 0.00 0.00 0.00 0.00 -8.25 -13.30 -8.03 -15.16 -12.60 12.65 -19.13 -5.91
2525447 0.00 0.00 0.00 0.00 -8.26 -15.62 -8.49 -15.16 -25.18 -0.10 -20.36 -4.62
2543835 0.00 0.00 0.00 0.00 -8.26 -15.62 -8.26 -15.16 12.16 0.06 -16.09 -1.55
2562891 0.00 0.00 0.00 0.00 -9.42 -15.63 -8.49 -15.16 -12.59 -0.06 -17.35 -1.56
