#Task Selector: 5
#PID Parameters: kp: 0.07, kd: 0.06, ki: 0.02
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 0.00 0.00 0.00 0.00 4.68 -5.96 0.94 -1.19 0.00 0.00 0.00 0.00
0 0.00 0.00 0.00 0.00 3.53 -7.12 1.64 -2.62 38.94 -78.57 3.89 -7.86
18124 0.00 0.00 0.00 0.00 6.99 -7.12 3.04 -4.04 78.29 -79.74 11.72 -15.83
35974 0.00 0.00 0.00 0.00 3.53 -7.12 3.75 -5.46 36.95 -74.55 15.42 -23.29
55075 0.00 0.00 0.00 0.00 3.53 -5.96 4.45 -6.66 43.94 -74.19 19.81 -30.71
71146 0.00 0.00 0.00 0.00 4.68 -7.12 4.45 -6.89 -0.02 -16.28 19.81 -32.33
85377 0.00 0.00 0.00 0.00 4.68 -5.96 4.68 -6.66 15.31 15.38 21.34 -30.79
100453 0.00 0.00 0.00 0.00 5.83 -7.12 4.45 -6.66 -13.12 -0.01 20.03 -30.80
118023 0.00 0.00 0.00 0.00 3.53 -7.12 4.45 -6.66 -0.00 0.00 20.03 -30.80
134049 0.00 0.00 0.00 0.00 2.38 -7.12 4.22 -6.89 -14.72 -14.78 18.56 -32.27
149750 0.00 0.00 0.00 0.00 3.53 -7.12 3.99 -6.89 -14.59 -0.02 17.10 -32.27
165560 0.00 0.00 0.00 0.00 2.38 -7.12 3.53 -7.12 -29.33 -14.76 10.27 -25.89
181298 0.00 0.00 0.00 0.00 2.38 -7.12 2.84 -7.12 -44.30 -0.06 -1.99 -17.93
196916 0.00 0.00 0.00 0.00 3.53 -5.96 2.84 -6.89 0.02 13.38 -5.68 -9.13
214226 0.00 0.00 0.00 0.00 4.68 -5.96 3.30 -6.66 30.24 15.22 -7.05 -0.19
229492 0.00 0.00 0.00 0.00 3.53 -7.12 3.30 -6.66 0.00 0.00 -7.05 1.44
245547 0.00 0.00 0.00 0.00 4.68 -5.96 3.76 -6.42 28.06 14.12 -5.77 1.31
261999 0.00 0.00 0.00 0.00 3.53 -7.12 3.99 -6.42 13.91 0.02 -3.07 1.31
278582 0.00 0.00 0.00 0.00 3.53 -5.96 3.99 -6.42 0.00 -0.00 -3.07 1.31
294264 0.00 0.00 0.00 0.00 5.84 -4.80 4.22 -6.19 14.02 14.07 -0.20 4.20
310716 0.00 0.00 0.00 0.00 3.53 -5.96 4.22 -5.96 0.02 13.78 1.26 5.58
