#Task Selector: 6
#PID Parameters: kp: 0.10, kd: 0.07, ki: 0.06
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 0.00 0.00 0.00 0.00 11.35 5.32 2.27 1.06 0.00 0.00 0.00 0.00
0 0.00 0.00 0.00 0.00 10.19 6.47 4.31 2.36 116.43 73.88 11.64 7.39
17512 0.00 0.00 0.00 0.00 11.35 5.32 6.58 3.42 138.83 65.08 25.53 13.90
33857 0.00 0.00 0.00 0.00 11.35 5.32 8.85 4.49 135.84 63.68 39.11 20.26
50562 0.00 0.00 0.00 0.00 9.04 4.17 10.65 5.32 117.29 54.06 50.84 25.67
65979 0.00 0.00 0.00 0.00 10.19 5.32 10.42 5.32 -13.87 -0.01 49.45 25.67
82600 0.00 0.00 0.00 0.00 13.65 5.32 11.12 5.09 41.05 -13.62 53.56 24.31
99458 0.00 0.00 0.00 0.00 10.19 5.32 10.89 5.09 -12.28 -0.01 52.33 24.31
118239 0.00 0.00 0.00 0.00 11.35 4.17 10.89 4.86 -0.01 -11.96 52.33 23.11
137485 0.00 0.00 0.00 0.00 11.35 4.17 11.35 4.86 28.70 0.01 55.20 23.11
153543 0.00 0.00 0.00 0.00 10.19 5.32 11.35 4.86 0.00 0.00 55.20 23.11
168902 0.00 0.00 0.00 0.00 10.19 5.32 10.65 4.86 -43.17 -0.03 39.24 15.72
184936 0.00 0.00 0.00 0.00 10.19 5.32 10.65 4.86 -0.00 0.00 25.36 9.21
199507 0.00 0.00 0.00 0.00 7.89 4.17 9.96 4.86 -46.81 -0.02 7.09 2.84
214273 0.00 0.00 0.00 0.00 7.89 4.17 9.27 4.86 -44.94 -0.02 -9.13 -2.57
229651 0.00 0.00 0.00 0.00 7.89 4.17 8.81 4.63 -30.51 -15.25 -10.80 -4.09
244753 0.00 0.00 0.00 0.00 5.59 1.87 7.89 3.94 -55.88 -41.89 -20.49 -6.92
261233 0.00 0.00 0.00 0.00 4.44 3.02 6.74 3.48 -68.58 -27.43 -26.12 -9.66
278016 0.00 0.00 0.00 0.00 5.59 3.02 6.28 3.25 -29.33 -14.66 -29.05 -9.93
293707 0.00 0.00 0.00 0.00 4.44 3.02 5.59 3.02 -42.66 -14.22 -36.19 -11.35
309886 0.00 0.00 0.00 0.00 3.29 1.87 4.67 2.56 -55.38 -27.68 -41.73 -14.12
326502 0.00 0.00 0.00 0.00 2.14 1.87 3.98 2.56 -39.26 0.00 -41.33 -14.12
344072 0.00 0.00 0.00 0.00 2.14 1.87 3.52 2.33 -29.44 -14.72 -44.28 -15.59
359694 0.00 0.00 0.00 0.00 0.99 0.72 2.60 1.87 -61.01 -30.51 -45.70 -18.64
374768 0.00 0.00 0.00 0.00 2.14 0.72 2.14 1.41 -30.88 -30.88 -44.29 -21.72
389660 0.00 0.00 0.00 0.00 -0.16 0.72 1.45 1.18 -42.36 -14.12 -45.48 -21.61
405941 0.00 0.00 0.00 0.00 -0.16 -0.43 0.99 0.72 -28.42 -28.42 -42.73 -20.26
422121 0.00 0.00 0.00 0.00 -0.16 0.72 0.53 0.49 -27.96 -13.98 -38.67 -18.92
438566 0.00 0.00 0.00 0.00 -0.16 0.72 0.30 0.49 -14.16 -0.00 -37.15 -17.45
454806 0.00 0.00 0.00 0.00 -0.16 -0.43 -0.16 0.26 -27.98 -13.99 -35.68 -17.43
471243 0.00 0.00 0.00 0.00 0.99 -0.43 0.07 0.03 14.05 -14.05 -28.74 -16.07
487609 0.00 0.00 0.00 0.00 2.14 -0.43 0.53 0.03 28.97 0.00 -21.92 -16.07
503481 0.00 0.00 0.00 0.00 -0.16 -0.43 0.53 -0.20 -0.00 -13.87 -18.98 -15.98
520054 0.00 0.00 0.00 0.00 2.14 0.72 0.99 -0.20 28.79 0.00 -9.99 -12.93
536024 0.00 0.00 0.00 0.00 2.14 -0.43 1.45 -0.20 26.16 0.00 -4.29 -9.84
553603 0.00 0.00 0.00 0.00 2.14 -0.43 1.68 -0.20 14.36 0.00 1.38 -8.43
569612 0.00 0.00 0.00 0.00 0.99 0.72 1.45 0.03 -14.20 14.21 2.80 -4.17
585798 0.00 0.00 0.00 0.00 2.14 -0.43 1.91 0.03 27.25 0.00 8.32 -2.77
602671 0.00 0.00 0.00 0.00 2.14 1.87 1.91 0.26 -0.00 14.07 9.74 -1.36
619015 0.00 0.00 0.00 0.00 4.44 0.72 2.37 0.49 24.86 12.43 15.02 1.28
637515 0.00 0.00 0.00 0.00 3.29 0.72 2.60 0.72 14.77 14.77 15.10 4.16
653079 0.00 0.00 0.00 0.00 3.29 1.87 3.06 0.95 31.06 15.53 15.30 5.71
667883 0.00 0.00 0.00 0.00 4.44 1.87 3.52 1.41 30.82 30.82 18.39 10.18
682803 0.00 0.00 0.00 0.00 4.44 0.72 3.98 1.18 27.44 -13.72 18.25 8.81
699561 0.00 0.00 0.00 0.00 4.44 1.87 3.98 1.41 -0.00 14.47 15.64 10.26
715450 0.00 0.00 0.00 0.00 4.44 3.02 4.21 1.87 13.24 26.47 15.52 12.90
732821 0.00 0.00 0.00 0.00 4.44 1.87 4.44 1.87 14.57 -0.00 18.40 11.48
748606 0.00 0.00 0.00 0.00 4.44 1.87 4.44 1.87 0.00 0.00 15.67 11.48
763977 0.00 0.00 0.00 0.00 4.44 1.87 4.44 2.10 -0.00 13.98 15.67 11.47
780427 0.00 0.00 0.00 0.00 4.44 1.87 4.44 2.10 -0.00 0.00 13.19 10.23
796822 0.00 0.00 0.00 0.00 5.59 3.02 4.67 2.10 14.26 0.00 13.14 8.75
812945 0.00 0.00 0.00 0.00 4.44 3.02 4.67 2.33 0.00 13.95 10.03 8.60
829425 0.00 0.00 0.00 0.00 4.44 0.72 4.67 2.10 0.00 -14.13 6.95 4.10
845698 0.00 0.00 0.00 0.00 4.44 0.72 4.67 1.87 0.00 -14.55 4.21 4.02
861495 0.00 0.00 0.00 0.00 4.44 1.87 4.67 1.87 -0.00 0.00 4.21 2.57
878155 0.00 0.00 0.00 0.00 4.44 1.87 4.44 1.64 -11.74 -11.74 1.71 -1.25
897744 0.00 0.00 0.00 0.00 4.44 0.72 4.44 1.18 0.00 -29.04 0.25 -4.15
913577 0.00 0.00 0.00 0.00 3.29 0.72 4.21 1.18 -14.46 0.00 -1.19 -4.15
929477 0.00 0.00 0.00 0.00 3.29 -0.43 3.98 0.95 -14.88 -14.88 -2.68 -7.04
944932 0.00 0.00 0.00 0.00 4.44 0.72 3.98 0.72 0.00 -14.25 -2.68 -8.46
961068 0.00 0.00 0.00 0.00 3.29 -0.43 3.75 0.26 -15.09 -30.18 -5.62 -11.48
976303 0.00 0.00 0.00 0.00 4.44 -0.43 3.75 0.03 0.00 -14.04 -5.62 -14.28
992680 0.00 0.00 0.00 0.00 2.14 -0.43 3.52 -0.20 -14.09 -14.09 -7.03 -14.28
1009002 0.00 0.00 0.00 0.00 2.14 0.72 3.29 0.03 -14.22 14.22 -8.45 -11.40
1025167 0.00 0.00 0.00 0.00 3.29 -0.43 3.06 -0.20 -15.05 -15.05 -9.95 -12.90
1040449 0.00 0.00 0.00 0.00 2.14 -1.58 2.83 -0.43 -14.05 -14.05 -10.18 -13.14
1056813 0.00 0.00 0.00 0.00 2.14 -1.58 2.37 -0.66 -28.40 -14.20 -13.02 -11.65
1073005 0.00 0.00 0.00 0.00 2.14 -1.58 2.37 -0.89 0.00 -13.94 -11.58 -13.04
1089502 0.00 0.00 0.00 0.00 0.99 -1.58 2.14 -1.35 -14.22 -28.44 -11.51 -14.40
1105674 0.00 0.00 0.00 0.00 0.99 -1.58 1.68 -1.58 -25.61 -12.81 -14.07 -14.26
1123632 0.00 0.00 0.00 0.00 -0.16 -1.58 1.22 -1.58 -29.40 -0.00 -15.50 -11.24
1139276 0.00 0.00 0.00 0.00 -0.16 -1.58 0.76 -1.58 -30.30 -0.00 -18.53 -9.84
1154455 0.00 0.00 0.00 0.00 2.14 -2.73 0.76 -1.81 0.00 -14.51 -17.12 -9.88
1170309 0.00 0.00 0.00 0.00 -0.16 -1.58 0.53 -1.81 -12.17 -0.00 -16.92 -11.30
1189205 0.00 0.00 0.00 0.00 0.99 -0.43 0.53 -1.58 0.00 14.57 -15.41 -8.34
1204992 0.00 0.00 0.00 0.00 -0.16 -0.43 0.53 -1.35 0.00 13.19 -14.01 -5.61
1222431 0.00 0.00 0.00 0.00 -0.16 -2.73 0.53 -1.58 -0.00 -15.80 -11.17 -5.78
1236987 0.00 0.00 0.00 0.00 -0.16 -2.73 0.07 -1.58 -27.73 -0.00 -13.94 -4.38
1253573 0.00 0.00 0.00 0.00 -0.16 -1.58 0.07 -1.58 0.00 0.00 -12.52 -1.54
1270153 0.00 0.00 0.00 0.00 0.99 -2.73 0.07 -2.04 -0.00 -30.89 -9.96 -3.35
1285045 0.00 0.00 0.00 0.00 0.99 -2.73 0.30 -2.50 14.52 -29.05 -5.57 -6.25
1300877 0.00 0.00 0.00 0.00 0.99 -1.58 0.53 -2.27 14.16 14.16 -1.12 -4.83
1317122 0.00 0.00 0.00 0.00 -0.16 -2.73 0.53 -2.27 0.00 -0.00 -1.12 -3.38
1333487 0.00 0.00 0.00 0.00 2.14 -2.73 0.99 -2.50 28.58 -14.29 2.95 -4.81
1349581 0.00 0.00 0.00 0.00 2.14 -2.73 1.22 -2.50 13.73 0.00 4.33 -6.27
1366328 0.00 0.00 0.00 0.00 2.14 -2.73 1.45 -2.50 14.65 0.00 5.79 -7.59
1382020 0.00 0.00 0.00 0.00 0.99 -2.73 1.45 -2.73 -0.00 -13.75 5.79 -7.38
1398754 0.00 0.00 0.00 0.00 -0.16 -2.73 1.45 -2.73 0.00 -0.00 8.56 -7.38
1415205 0.00 0.00 0.00 0.00 2.14 -3.88 1.45 -2.96 0.00 -15.04 8.56 -8.89
1430506 0.00 0.00 0.00 0.00 0.99 -2.73 1.22 -2.96 -14.19 -0.00 7.14 -5.80
1446709 0.00 0.00 0.00 0.00 2.14 -3.88 1.22 -3.19 0.00 -13.70 5.69 -4.26
1463507 0.00 0.00 0.00 0.00 0.99 -2.73 1.22 -3.19 0.00 -0.00 4.28 -5.68
1479448 0.00 0.00 0.00 0.00 0.99 -3.88 1.45 -3.42 14.11 -14.12 5.69 -7.09
1495748 0.00 0.00 0.00 0.00 -0.16 -2.73 0.99 -3.19 -27.07 13.54 0.12 -4.31
1512740 0.00 0.00 0.00 0.00 0.99 -2.73 0.99 -3.19 0.00 0.00 -1.25 -4.31
1529670 0.00 0.00 0.00 0.00 -0.16 -1.58 0.53 -2.73 -26.22 26.24 -5.34 -1.68
1547208 0.00 0.00 0.00 0.00 2.14 -2.73 0.76 -2.73 14.95 0.00 -3.84 -0.31
1562589 0.00 0.00 0.00 0.00 -0.16 -3.88 0.53 -2.73 -14.81 -0.00 -5.32 -0.31
1578123 0.00 0.00 0.00 0.00 -0.16 -3.88 0.53 -2.96 -0.00 -13.23 -5.32 -0.13
1595517 0.00 0.00 0.00 0.00 -0.16 -2.73 0.30 -2.96 -15.34 -0.00 -5.44 -0.13
1610511 0.00 0.00 0.00 0.00 -0.16 -2.73 0.30 -3.19 -0.00 -13.11 -5.44 -0.07
1628057 0.00 0.00 0.00 0.00 0.99 -2.73 0.07 -3.19 -11.92 -0.00 -6.63 -0.07
1647357 0.00 0.00 0.00 0.00 0.99 -2.73 0.30 -2.96 13.62 13.63 -6.68 2.71
1664242 0.00 0.00 0.00 0.00 -0.16 -2.73 0.30 -2.73 0.00 15.19 -3.97 2.87
1679393 0.00 0.00 0.00 0.00 -0.16 -2.73 0.30 -2.73 0.00 0.00 -3.97 2.87
1695612 0.00 0.00 0.00 0.00 2.14 -2.73 0.76 -2.73 29.74 0.00 1.63 0.25
1711078 0.00 0.00 0.00 0.00 2.14 -2.73 0.99 -2.73 16.69 0.00 1.80 0.25
1724853 0.00 0.00 0.00 0.00 0.99 -2.73 0.99 -2.73 0.00 0.00 3.28 0.25
1740475 0.00 0.00 0.00 0.00 -0.16 -2.73 0.99 -2.73 0.00 -0.00 3.28 1.57
1756580 0.00 0.00 0.00 0.00 2.14 -2.73 1.45 -2.73 29.75 0.00 7.79 1.57
1772042 0.00 0.00 0.00 0.00 0.99 -0.43 1.22 -2.27 -13.92 27.86 6.40 5.67
1788555 0.00 0.00 0.00 0.00 0.99 -2.73 0.99 -2.27 -15.02 -0.00 6.09 5.67
1803868 0.00 0.00 0.00 0.00 2.14 -2.73 1.22 -2.27 13.87 0.00 6.11 4.31
1820448 0.00 0.00 0.00 0.00 2.14 -3.88 1.68 -2.50 26.90 -13.46 8.80 1.44
1837547 0.00 0.00 0.00 0.00 -0.16 -3.88 1.22 -2.73 -26.17 -13.09 6.18 0.13
