#Task Selector: 5
#PID Parameters: kp: 0.15, kd: 0.07, ki: 0.08
#n_pos: 5
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 0.00 0.00 0.00 0.00 0.08 0.96 0.02 0.19 0.00 0.00 0.00 0.00
0 0.00 0.00 0.00 0.00 -2.22 0.96 -0.43 0.38 -24.15 10.39 -2.41 1.04
18418 0.00 0.00 0.00 0.00 0.08 2.11 -0.41 0.81 1.06 26.64 -2.31 3.70
34280 0.00 0.00 0.00 0.00 -1.07 -0.19 -0.63 0.77 -9.51 -1.72 -3.26 3.53
56824 0.00 0.00 0.00 0.00 -3.38 -0.20 -1.30 0.73 -39.82 -2.34 -7.24 3.30
73806 0.00 0.00 0.00 0.00 0.08 0.96 -1.30 0.73 0.00 0.00 -7.24 3.30
88871 0.00 0.00 0.00 0.00 -1.07 2.11 -1.07 0.96 14.37 14.36 -5.80 4.73
104949 0.00 0.00 0.00 0.00 -4.53 0.95 -1.99 0.73 -51.61 -12.96 -10.96 3.44
122848 0.00 0.00 0.00 0.00 -8.03 -3.68 -3.39 0.03 -74.13 -37.17 -18.38 -0.28
141609 0.00 0.00 0.00 0.00 -9.20 -6.01 -4.55 -1.13 -71.23 -71.09 -25.50 -7.39
157948 0.00 0.00 0.00 0.00 -10.40 -10.67 -6.65 -3.46 -137.59 -152.72 -39.26 -22.66
173182 0.00 0.00 0.00 0.00 -9.26 -14.17 -8.28 -6.72 -101.64 -202.10 -47.01 -43.91
189298 0.00 0.00 0.00 0.00 -13.96 -15.40 -10.17 -9.99 -130.91 -227.13 -60.21 -69.29
203696 0.00 0.00 0.00 0.00 -14.02 -20.13 -11.37 -13.28 -77.73 -213.28 -67.03 -90.44
219120 0.00 0.00 0.00 0.00 -12.86 -21.30 -12.10 -16.34 -39.60 -165.59 -67.01 -106.77
237594 0.00 0.00 0.00 0.00 -12.86 -21.30 -12.59 -18.46 -31.27 -135.03 -70.13 -120.27
253338 0.00 0.00 0.00 0.00 -14.04 -21.32 -13.55 -19.89 -60.56 -90.54 -77.63 -130.76
269121 0.00 0.00 0.00 0.00 -11.68 -21.29 -13.09 -21.07 24.28 -62.76 -70.04 -135.74
287883 0.00 0.00 0.00 0.00 -11.70 -22.48 -12.63 -21.54 29.42 -29.72 -59.68 -135.00
303678 0.00 0.00 0.00 0.00 -10.52 -22.46 -12.16 -21.77 31.97 -15.85 -49.36 -129.47
318303 0.00 0.00 0.00 0.00 -10.52 -22.46 -11.69 -22.00 29.78 -14.76 -32.63 -115.68
334007 0.00 0.00 0.00 0.00 -9.35 -22.45 -10.75 -22.23 53.02 -12.73 -17.16 -96.74
351707 0.00 0.00 0.00 0.00 -8.17 -22.43 -10.05 -22.45 39.66 -12.96 -0.10 -75.32
369399 0.00 0.00 0.00 0.00 -9.33 -21.26 -9.58 -22.21 29.45 15.19 10.62 -52.47
385467 0.00 0.00 0.00 0.00 -5.82 -21.22 -8.64 -21.96 55.15 14.57 20.09 -34.46
402516 0.00 0.00 0.00 0.00 -5.82 -21.22 -7.70 -21.71 58.84 15.54 29.10 -19.40
418495 0.00 0.00 0.00 0.00 -3.48 -20.01 -6.52 -21.23 74.79 30.98 42.64 -7.25
434192 0.00 0.00 0.00 0.00 -1.14 -18.82 -5.12 -20.51 72.32 37.17 47.44 2.74
453637 0.00 0.00 0.00 0.00 1.20 -14.11 -3.01 -19.08 139.23 94.48 58.42 15.16
468766 0.00 0.00 0.00 0.00 3.52 -12.93 -1.14 -17.42 87.27 77.43 63.95 24.49
490165 0.00 0.00 0.00 0.00 4.68 -10.60 0.96 -15.30 139.09 140.69 74.88 40.04
505258 0.00 0.00 0.00 0.00 6.99 -9.44 3.05 -13.18 118.13 119.43 81.39 53.25
522971 0.00 0.00 0.00 0.00 8.14 -5.96 4.90 -10.61 114.46 158.61 88.87 70.41
539186 0.00 0.00 0.00 0.00 10.44 -3.65 6.75 -8.52 117.98 133.56 97.73 82.25
554852 0.00 0.00 0.00 0.00 15.05 -1.34 9.06 -6.20 157.29 158.12 107.94 96.60
569512 0.00 0.00 0.00 0.00 13.89 -0.19 10.90 -4.12 104.11 117.61 112.47 106.81
587218 0.00 0.00 0.00 0.00 17.35 2.11 12.97 -1.81 130.61 145.56 118.05 118.27
603085 0.00 0.00 0.00 0.00 18.50 4.41 15.05 0.27 130.28 130.43 123.85 127.59
618989 0.00 0.00 0.00 0.00 18.50 5.56 16.66 2.11 109.97 125.74 120.92 130.72
633641 0.00 0.00 0.00 0.00 18.50 6.72 17.35 3.72 40.31 94.15 116.22 132.39
650761 0.00 0.00 0.00 0.00 20.81 9.02 18.73 5.56 93.18 124.08 111.63 130.73
665602 0.00 0.00 0.00 0.00 23.12 11.32 19.89 7.41 73.94 117.95 107.21 130.58
681225 0.00 0.00 0.00 0.00 23.12 10.17 20.81 8.56 56.01 69.76 101.37 121.70
697735 0.00 0.00 0.00 0.00 23.13 12.48 21.74 9.94 60.48 90.36 95.62 117.38
713036 0.00 0.00 0.00 0.00 23.13 12.48 22.66 11.09 58.36 72.67 85.73 108.83
728894 0.00 0.00 0.00 0.00 21.97 11.32 22.89 11.55 16.67 33.17 76.98 100.39
742790 0.00 0.00 0.00 0.00 20.82 14.78 22.43 12.25 -29.97 44.84 60.92 90.31
758204 0.00 0.00 0.00 0.00 20.81 11.32 21.97 12.48 -33.75 16.78 44.52 78.95
771914 0.00 0.00 0.00 0.00 20.81 11.32 21.51 12.24 -29.36 -14.65 30.59 64.91
